hname/C:sname/C:id0/I:id1/I:id2/I:id3/I:first/D:stampSec/D:mi.fMemUsed/D:mi.fSwapUsed/D:cI.fUser/D:cI.fSys/D:cI.fLoad1m/D:cI.fLoad5m/D:cI.fLoad15m/D:pI.fMemResident/D:pI.fMemVirtual/D:pI.fCpuUser/D:pI.fCpuSys/D:stampOldSec/D:miOld.fMemUsed/D:miOld.fSwapUsed/D:cIOld.fUser/D:cIOld.fSys/D:pIOld.fMemResident/D:pIOld.fMemVirtual/D:pIOld.fCpuUser/D:pIOld.fCpuSys/D:fileBytesRead/D:fileBytesWritten/D:fileCounter/D:fileReadCalls/D
qx084.quark.hiroshima-u.ac.jp	Start	-1	-1	-1	-1	1616729452.86759	1616729452.86759	7466	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	206.4609375	531.69140625	1.92416298389435	0.405194014310837	1616729452.87811	0	0	0	0	0	0	0	0	581310	0	0	165	
qx084.quark.hiroshima-u.ac.jp	CreateRawReader	-1	-1	-1	-1	1616729452.86759	1616729452.88671	7466	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	206.5859375	531.8203125	1.92508399486542	0.406190991401672	1616729452.86759	7466	799	0	0	206.4609375	531.69140625	1.92416298389435	0.405194014310837	581310	0	0	165	
qx084.quark.hiroshima-u.ac.jp	InitCDB	-1	-1	-1	-1	1616729452.86759	1616729452.912	7467	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	207.8125	532.46484375	1.93562698364258	0.409909009933472	1616729452.88671	7466	799	0	0	206.5859375	531.8203125	1.92508399486542	0.406190991401672	581310	0	0	165	
qx084.quark.hiroshima-u.ac.jp	LoadGeom	-1	-1	-1	-1	1616729452.86759	1616729453.58392	7491	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	239.609375	556.05078125	2.28662395477295	0.507800996303558	1616729452.912	7467	799	0	0	207.8125	532.46484375	1.93562698364258	0.409909009933472	1290719	0	2	175	
qx084.quark.hiroshima-u.ac.jp	CheckGeom	-1	-1	-1	-1	1616729452.86759	1616729453.59461	7491	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	239.63671875	556.05078125	2.28700804710388	0.507885992527008	1616729453.58392	7491	799	0	0	239.609375	556.05078125	2.28662395477295	0.507800996303558	1290719	0	2	175	
qx084.quark.hiroshima-u.ac.jp	MisalignGeom	-1	-1	-1	-1	1616729452.86759	1616729453.61518	7491	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	239.72265625	556.05078125	2.29707789421082	0.507885992527008	1616729453.59461	7491	799	0	0	239.63671875	556.05078125	2.28700804710388	0.507885992527008	1299733	0	2	185	
qx084.quark.hiroshima-u.ac.jp	InitGRP	-1	-1	-1	-1	1616729452.86759	1616729453.74776	7505	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	251.09765625	567.04296875	2.37730097770691	0.519843995571136	1616729453.61518	7491	799	0	0	239.72265625	556.05078125	2.29707789421082	0.507885992527008	4514248	0	3	209	
qx084.quark.hiroshima-u.ac.jp	LoadCDB	-1	-1	-1	-1	1616729452.86759	1616729456.44968	7676	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	487.890625	837.5078125	4.03931713104248	0.864552021026611	1616729453.74776	7505	799	0	0	251.09765625	567.04296875	2.37730097770691	0.519843995571136	28059333	0	3	766	
qx084.quark.hiroshima-u.ac.jp	LoadTriggerScalersCDB	-1	-1	-1	-1	1616729452.86759	1616729456.464	7675	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	487.9453125	837.5078125	4.04093503952026	0.865806996822357	1616729456.44968	7676	799	0	0	487.890625	837.5078125	4.03931713104248	0.864552021026611	28062494	0	3	771	
qx084.quark.hiroshima-u.ac.jp	LoadCTPTimeParamsCDB	-1	-1	-1	-1	1616729452.86759	1616729456.47927	7675	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	487.95703125	837.5078125	4.04184007644653	0.867487013339996	1616729456.464	7675	799	0	0	487.9453125	837.5078125	4.04093503952026	0.865806996822357	28068026	0	3	781	
qx084.quark.hiroshima-u.ac.jp	ReadIntensityInfoCDB	-1	-1	-1	-1	1616729452.86759	1616729456.493	7675	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	487.96875	837.5078125	4.04424095153809	0.867487013339996	1616729456.47927	7675	799	0	0	487.95703125	837.5078125	4.04184007644653	0.867487013339996	28071345	0	3	786	
qx084.quark.hiroshima-u.ac.jp	InitRecoParams	-1	-1	-1	-1	1616729452.86759	1616729456.50718	7675	799	0	0	0.949999988079071	0.400000005960464	0.360000014305115	487.98046875	837.5078125	4.04701805114746	0.867507994174957	1616729456.493	7675	799	0	0	487.96875	837.5078125	4.04424095153809	0.867487013339996	28075806	0	3	791	
qx084.quark.hiroshima-u.ac.jp	LoadLoader	-1	-1	-1	-1	1616729452.86759	1616729457.73675	7692	799	0	0	0.959999978542328	0.409999996423721	0.360000014305115	501.25	1269.58203125	4.42165994644165	1.0004620552063	1616729456.50718	7675	799	0	0	487.98046875	837.5078125	4.04701805114746	0.867507994174957	28735153	0	6	997	
qx084.quark.hiroshima-u.ac.jp	CreateTrackers	-1	-1	-1	-1	1616729452.86759	1616729458.99459	7678	799	0	0	0.959999978542328	0.409999996423721	0.360000014305115	559.546875	1327.0546875	5.45727109909058	1.12748098373413	1616729457.73675	7692	799	0	0	501.25	1269.58203125	4.42165994644165	1.0004620552063	28741154	0	6	1004	
